proporcion,split,seed,bought_rate
70/15/15,test,94,0.1266490765171504
70/15/15,valid,95,0.13355263157894737
70/15/15,test,95,0.1332033788174139
70/15/15,valid,96,0.1284465366509751
70/15/15,test,96,0.1321762349799733
70/15/15,valid,97,0.1335593220338983
70/15/15,test,97,0.12964169381107493
70/15/15,valid,98,0.13654353562005278
70/15/15,test,98,0.132
70/15/15,valid,99,0.12750333778371162
70/15/15,test,99,0.11935483870967742
70/15/15,valid,100,0.12872628726287264
70/15/15,test,100,0.12991339107261826
70/15/15,valid,101,0.12227362855254462
70/15/15,test,101,0.13611859838274934
70/15/15,valid,102,0.128135593220339
70/15/15,test,102,0.12935656836461126
70/15/15,valid,103,0.13252197430696416
70/15/15,test,103,0.1289245156980628
70/15/15,valid,104,0.12836021505376344
70/15/15,test,104,0.13553607552258934
70/15/15,valid,105,0.13150684931506848
70/15/15,test,105,0.12265415549597855
70/15/15,valid,106,0.12574850299401197
70/15/15,test,106,0.13448735019973368
70/15/15,valid,107,0.13301823092505063
70/15/15,test,107,0.1279220779220779
70/15/15,valid,108,0.1390593047034765
70/15/15,test,108,0.12818835840418574
70/15/15,valid,109,0.12402597402597403
70/15/15,test,109,0.133289124668435
70/15/15,valid,110,0.12583668005354753
70/15/15,test,110,0.13258575197889183
70/15/15,valid,111,0.1326949384404925
70/15/15,test,111,0.12608405603735823
70/15/15,valid,112,0.13122476446837147
70/15/15,test,112,0.12827225130890052
70/15/15,valid,113,0.1223021582733813
70/15/15,test,113,0.13315400134498992
70/15/15,valid,114,0.13531799729364005
70/15/15,test,114,0.129565816678153
70/15/15,valid,115,0.130173564753004
70/15/15,test,115,0.1302910052910053
70/15/15,valid,116,0.1334716459197787
70/15/15,test,116,0.1288135593220339
70/15/15,valid,117,0.12642905178211164
70/15/15,test,117,0.13234344738540993
70/15/15,valid,118,0.12854317732366513
70/15/15,test,118,0.12898936170212766
70/15/15,valid,119,0.12508361204013377
70/15/15,test,119,0.12632978723404256
70/15/15,valid,120,0.1265389876880985
70/15/15,test,120,0.1289695398574206
70/15/15,valid,121,0.12823834196891193
70/15/15,test,121,0.1361111111111111
70/15/15,valid,122,0.12998040496407576
70/15/15,test,122,0.12616201859229748
70/15/15,valid,123,0.12829169480081026
70/15/15,test,123,0.13043478260869565
70/15/15,valid,124,0.12810457516339868
70/15/15,test,124,0.13084745762711864
70/15/15,valid,125,0.12632275132275134
70/15/15,test,125,0.13347022587268995
